date,location,reported_by,title,url
2018-08-17,Syria,Bellingcat,Signs of Cluster Munition Use as Military Activity in Idlib Intensifies ,https://www.bellingcat.com/news/mena/2018/08/17/signs-cluster-munition-use-military-activity-idlib-intensifies/
2016-07-28,Syria,Human Rights Watch,Russia/Syria: Widespread New Cluster Munition Use,https://www.hrw.org/news/2016/07/28/russia/syria-widespread-new-cluster-munition-use
2022-02-27,Ukraine,Bellingcat,Invasion of Ukraine: Tracking use of Cluster Munitions in Civilian Areas ,https://www.bellingcat.com/news/2022/02/27/ukraine-conflict-tracking-use-of-cluster-munitions-in-civilian-areas/
2022-03-11,Ukraine,Bellingcat,These are the Cluster Munitions Documented by Ukrainian Civilians ,https://www.bellingcat.com/news/rest-of-world/2022/03/11/these-are-the-cluster-munitions-documented-by-ukrainian-civilians/
2017-08-17,Syria,Bellingcat,Is the Idlib Offensive coming? ,https://www.bellingcat.com/news/mena/2018/08/17/the-idlib-offensive/
2022-12-13,Ukraine,Human Rights Watch,Ukraine: Apparent Cluster Munitions Hit Kherson,https://www.hrw.org/news/2022/12/13/ukraine-apparent-cluster-munitions-hit-kherson
2022-05-11,Ukraine,Human Rights Watch,End Cluster Munition Attacks in Ukraine,https://www.hrw.org/news/2022/05/11/end-cluster-munition-attacks-ukraine
2022-05-11,Ukraine,Human Rights Watch,Intense and Lasting Harm: Cluster Munition Attacks in Ukraine,https://www.hrw.org/report/2022/05/11/intense-and-lasting-harm/cluster-munition-attacks-ukraine
2022-03-17,Ukraine,Human Rights Watch,Ukraine: Cluster Munitions Repeatedly Used on Mykolaiv,https://www.hrw.org/news/2022/03/17/ukraine-cluster-munitions-repeatedly-used-mykolaiv
2022-04-22,Ukraine,Human Rights Watch,Ukraine: Cluster Munitions Launched Into Kharkiv Neighborhoods,https://www.hrw.org/news/2022/03/04/ukraine-cluster-munitions-launched-kharkiv-neighborhoods
2014-02-16,Syria,ARES,9M55K Cargo Rockets and 9N235 Submunitions in Syria ,https://armamentresearch.com/9m55k-cargo-rockets-and-9n235-submunitions-in-syria/
2014-07-03,Ukraine,ARES,9M55K cargo rockets and 9N235 submunitions in Ukraine ,https://armamentresearch.com/9m55k-cargo-rockets-and-9n235-submunitions-in-ukraine/
2014-07-11,Ukraine,ARES,9M27K series cargo rockets used in Ukraine ,https://armamentresearch.com/9m27k-series-cargo-rockets-used-in-ukraine/
2022-11-23,Syria,Human Rights Watch,Syria: Cluster Munitions Used in November 6 Attacks,https://www.hrw.org/news/2022/11/23/syria-cluster-munitions-used-november-6-attacks
2022-08-22,Ukraine,Cluster Munition Monitor,Cluster Munition Monitor 2022,http://the-monitor.org/en-gb/reports/2022/cluster-munition-monitor-2022.aspx
2022-06-13,Ukraine,Amnesty,"Ukraine: “Anyone can die at any time”: Indiscriminate attacks by Russian forces in Kharkiv, Ukraine",https://www.amnesty.org/en/documents/eur50/5682/2022/en/
2022-08-25,Ukraine,New York Times,"Cluster munitions have killed nearly 700 in Ukraine, a study reports",https://www.nytimes.com/2022/08/26/world/europe/cluster-munitions-russia-ukraine.html
2022-06-19,Ukraine,New York Times,What Hundreds of Photos of Weapons Reveal About Russia’s Brutal War Strategy,https://www.nytimes.com/interactive/2022/06/19/world/europe/ukraine-munitions-war-crimes.html
